[0/6] CSV okundu. Toplam satır: 4537 | com: 3714 | de: 820
[1/6] Benzersiz değerler çıkarılıyor...
[1/6] Tamam. Süre: 0.01 sn | Benzersiz Title (com): 3304 | (de): 735 | Benzersiz Category (com): 108 | (de): 28

[2/6] Title çevirileri başlıyor...
[Title EN->TR] Başlıyor | src=en dest=tr | toplam benzersiz=3304
[Title EN->TR] İlerleme 2125/3304 | ok=2125 fail=0 | hız=1.35/sn | kalan~14.5 dk
[Title EN->TR] İlerleme 2150/3304 | ok=2150 fail=0 | hız=1.35/sn | kalan~14.3 dk
[Title EN->TR] İlerleme 2175/3304 | ok=2175 fail=0 | hız=1.35/sn | kalan~14.0 dk
[Title EN->TR] İlerleme 2200/3304 | ok=2200 fail=0 | hız=1.35/sn | kalan~13.7 dk
[Title EN->TR] İlerleme 2225/3304 | ok=2225 fail=0 | hız=1.35/sn | kalan~13.4 dk
[Title EN->TR] İlerleme 2250/3304 | ok=2250 fail=0 | hız=1.34/sn | kalan~13.1 dk
[Title EN->TR] İlerleme 2275/3304 | ok=2275 fail=0 | hız=1.34/sn | kalan~12.8 dk
[Title EN->TR] İlerleme 2300/3304 | ok=2300 fail=0 | hız=1.34/sn | kalan~12.5 dk
[Title EN->TR] İlerleme 2325/3304 | ok=2325 fail=0 | hız=1.34/sn | kalan~12.2 dk
[Title EN->TR] İlerleme 2350/3304 | ok=2350 fail=0 | hız=1.34/sn | kalan~11.9 dk
[Title EN->TR] İlerleme 2375/3304 | ok=2375 fail=0 | hız=1.33/sn | kalan~11.6 dk
[Title EN->TR] İlerleme 2400/3304 | ok=2400 fail=0 | hız=1.33/sn | kalan~11.3 dk
[Title EN->TR] İlerleme 2425/3304 | ok=2425 fail=0 | hız=1.33/sn | kalan~11.0 dk
[Title EN->TR] İlerleme 2450/3304 | ok=2450 fail=0 | hız=1.33/sn | kalan~10.7 dk
[Title EN->TR] İlerleme 2475/3304 | ok=2475 fail=0 | hız=1.33/sn | kalan~10.4 dk
[Title EN->TR] İlerleme 2500/3304 | ok=2500 fail=0 | hız=1.33/sn | kalan~10.1 dk
[Title EN->TR] İlerleme 2525/3304 | ok=2525 fail=0 | hız=1.33/sn | kalan~9.8 dk
[Title EN->TR] İlerleme 2550/3304 | ok=2550 fail=0 | hız=1.32/sn | kalan~9.5 dk
[Title EN->TR] İlerleme 2575/3304 | ok=2575 fail=0 | hız=1.32/sn | kalan~9.2 dk
